TEAM_NAME,YEAR,CONF_RANK,Conference
Pacers,2014,9,East
Pacers,2015,7,East
Pacers,2016,7,East
Pacers,2017,5,East
Pacers,2018,5,East
Pacers,2019,4,East
Pacers,2020,9,East
Pacers,2021,13,East
Pacers,2022,11,East
Pacers,2023,6,East
Pacers,2024,4,East
76ers,2010,7,East
76ers,2011,8,East
76ers,2012,9,East
76ers,2013,14,East
76ers,2014,14,East
76ers,2015,15,East
76ers,2016,14,East
76ers,2017,3,East
76ers,2018,3,East
76ers,2019,6,East
76ers,2020,1,East
76ers,2021,4,East
76ers,2022,3,East
76ers,2023,7,East
76ers,2024,13,East
Suns,2010,10,West
Suns,2011,10,West
Suns,2012,15,West
Suns,2013,9,West
Suns,2014,10,West
Suns,2015,14,West
Suns,2016,15,West
Suns,2017,15,West
Suns,2018,15,West
Suns,2019,10,West
Suns,2020,2,West
Suns,2021,1,West
Suns,2022,4,West
Suns,2023,6,West
Suns,2024,11,West
Trail Blazers,2010,6,West
Trail Blazers,2011,11,West
Trail Blazers,2012,11,West
Trail Blazers,2013,5,West
Trail Blazers,2014,4,West
Trail Blazers,2015,5,West
Trail Blazers,2016,8,West
Trail Blazers,2017,3,West
Trail Blazers,2018,3,West
Trail Blazers,2019,8,West
Trail Blazers,2020,6,West
Trail Blazers,2021,13,West
Trail Blazers,2022,13,West
Trail Blazers,2023,15,West
Trail Blazers,2024,12,West
Kings,2010,14,West
Kings,2011,14,West
Kings,2012,13,West
Kings,2013,13,West
Kings,2014,13,West
Kings,2015,10,West
Kings,2016,12,West
Kings,2017,12,West
Kings,2018,9,West
Kings,2019,12,West
Kings,2020,12,West
Kings,2021,12,West
Kings,2022,3,West
Kings,2023,9,West
Kings,2024,9,West
Spurs,2010,1,West
Spurs,2011,1,West
Spurs,2012,2,West
Spurs,2013,1,West
Spurs,2014,6,West
Spurs,2015,2,West
Spurs,2016,2,West
Spurs,2017,7,West
Spurs,2018,7,West
Spurs,2019,11,West
Spurs,2020,10,West
Spurs,2021,10,West
Spurs,2022,15,West
Spurs,2023,14,West
Spurs,2024,13,West
Thunder,2010,4,West
Thunder,2011,2,West
Thunder,2012,1,West
Thunder,2013,2,West
Thunder,2014,9,West
Thunder,2015,3,West
Thunder,2016,6,West
Thunder,2017,4,West
Thunder,2018,6,West
Thunder,2019,5,West
Thunder,2020,14,West
Thunder,2021,14,West
Thunder,2022,10,West
Thunder,2023,1,West
Thunder,2024,1,West
Raptors,2010,14,East
Raptors,2011,11,East
Raptors,2012,10,East
Raptors,2013,3,East
Raptors,2014,4,East
Raptors,2015,2,East
Raptors,2016,3,East
Raptors,2017,1,East
Raptors,2018,2,East
Raptors,2019,2,East
Raptors,2020,12,East
Raptors,2021,5,East
Raptors,2022,9,East
Raptors,2023,12,East
Raptors,2024,11,East
Jazz,2010,11,West
